Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity Additions|Electricity|Geothermal,GW/yr,1.302327985,1.295114416,1.231156456,2.060918294,2.18681869,2.491620089,2.895641313,3.122635351,3.374619962,3.306366692,3.508558607,3.55010374,3.767502537,3.683179752,3.83556652,3.515812764,3.839934868
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity Additions|Electricity|Nuclear,GW/yr,0,2.667220878,1.556235003,2.443969062,3.980172156,5.7313136,6.900483467,7.794895472,7.168588006,4.944159387,4.937954211,5.261984204,5.997308596,6.083494237,5.011667804,3.65085916,3.930035423
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity Additions|Electricity|Oil,GW/yr,2.562991966,3.176717977,2.79840925,3.775498029,5.030441228,4.546975972,3.043230019,1.816237027,0.991302732,0.521635408,0.321624662,0.245591428,0.195584064,0.225587013,0.257694809,0.234442313,0.034292819
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity Additions|Electricity|Oil|w/o CCS,GW/yr,2.562991966,3.176717977,2.79840925,3.775498029,5.030441228,4.546975972,3.043230019,1.816237027,0.991302732,0.521635408,0.321624662,0.245591428,0.195584064,0.225587013,0.257694809,0.234442313,0.034292819
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity Additions|Electricity|Solar,GW/yr,36.7830793,179.3596154,205.9066194,336.9234737,524.766296,711.9766934,830.2916347,935.4108024,883.0344351,800.8552178,844.2545902,904.5377063,970.3251456,982.0098841,931.9758586,839.1591827,867.3639702
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity Additions|Electricity|Solar|CSP,GW/yr,0.00617627,0.106866093,0.222452248,0.682243174,1.495397709,2.768261859,4.054373916,4.524167541,4.679029523,3.861547354,4.153433297,4.726778127,5.538519319,5.251172383,5.188713884,4.348076537,4.759749394
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity Additions|Electricity|Solar|PV,GW/yr,36.77690303,179.2527493,205.6841671,336.2412305,523.2708982,709.2084315,826.2372607,930.8866348,878.3554055,796.9936704,840.1011569,899.8109282,964.7866263,976.7587117,926.7871447,834.8111061,862.6042208
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity Additions|Electricity|Wind,GW/yr,27.90468579,76.95565001,75.93812344,108.334105,134.9559547,157.7756854,171.9985883,191.5287842,166.8223427,141.5330277,156.4238729,173.9029044,194.3516512,197.5679152,170.0566659,134.4679505,144.8199974
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity Additions|Electricity|Wind|Offshore,GW/yr,0.071428278,0.784871503,2.228052134,7.151798821,16.29551006,26.82891928,34.80613853,38.66877657,35.38184676,30.95624485,36.29973368,41.7798681,46.09223996,44.64332346,38.6097197,30.52385,34.4322006
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity Additions|Electricity|Wind|Onshore,GW/yr,27.83325751,76.17077851,73.71007131,101.1823062,118.6604446,130.9467661,137.1924498,152.8600076,131.440496,110.5767829,120.1241392,132.1230363,148.2594112,152.9245918,131.4469462,103.9441005,110.3877968
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity,GW,3062.58801,4223.416166,5406.533287,6885.943161,8756.417613,11036.41823,13818.82081,16901.04431,19736.92743,21849.27376,23494.16214,24579.59269,25170.48365,25151.75891,24915.9734,24629.99286,24312.28452
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Biomass,GW,59.59436348,34.63066526,32.45132828,27.99457286,14.76029046,9.450689655,8.666968414,40.73836021,57.29550006,84.2331151,108.6420606,114.9155291,110.6539714,138.8634157,175.6102907,221.5244875,273.8861912
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Biomass|w/ CCS,GW,0,0,0.013723312,0.30397149,0.971851116,2.743655017,4.623317053,39.35920412,56.60105696,83.95825173,108.5708677,114.8836382,110.6286311,138.7929878,175.444213,221.1324543,273.1720277
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Biomass|w/o CCS,GW,59.59436348,34.63066526,32.43760497,27.69060137,13.78843934,6.707034638,4.043651361,1.379156088,0.694443107,0.274863369,0.071192972,0.031890933,0.025340341,0.07042784,0.16607771,0.392033228,0.714163512
